optimizer,p,m,energy_Hc,time_sec,trial,C_max,C_qaoa,approx_ratio
L-BFGS-B,8,20,0.0532,873.35,0,20,19.9468,0.99734
L-BFGS-B,8,20,0.1628,1021.4,1,20,19.8372,0.99186
L-BFGS-B,8,20,0.031,1274.88,2,20,19.969,0.9984500000000001
L-BFGS-B,8,20,0.0941,795.89,3,20,19.9059,0.9952949999999999
L-BFGS-B,8,20,0.1495,1020.37,4,20,19.8505,0.992525
L-BFGS-B,8,20,0.0635,823.28,5,20,19.9365,0.996825
L-BFGS-B,8,20,0.0285,616.51,6,20,19.9715,0.998575
L-BFGS-B,8,20,0.0374,1029.37,7,20,19.9626,0.99813
L-BFGS-B,8,20,0.0491,1634.34,8,20,19.9509,0.997545
L-BFGS-B,8,20,0.0602,940.68,9,20,19.9398,0.99699
L-BFGS-B,8,20,0.0684,2666.33,10,20,19.9316,0.99658
L-BFGS-B,8,20,0.0539,1732.31,11,20,19.9461,0.9973050000000001
L-BFGS-B,8,20,0.0131,940.75,12,20,19.9869,0.9993449999999999
L-BFGS-B,8,20,0.2215,1833.49,13,20,19.7785,0.988925
L-BFGS-B,8,20,0.067,1665.4,14,20,19.933,0.99665
L-BFGS-B,16,20,0.0038,34250.81,0,20,19.9962,0.9998100000000001
L-BFGS-B,16,20,0.0147,16576.39,1,20,19.9853,0.999265
L-BFGS-B,16,20,0.0005,19665.58,2,20,19.9995,0.9999750000000001
L-BFGS-B,16,20,0.016,18283.74,3,20,19.984,0.9992000000000001
L-BFGS-B,16,20,0.0084,26715.76,4,20,19.9916,0.9995799999999999
L-BFGS-B,16,20,0.0091,37439.69,5,20,19.9909,0.999545
L-BFGS-B,16,20,0.0008,15100.86,6,20,19.9992,0.99996
L-BFGS-B,16,20,0.0008,26255.27,7,20,19.9992,0.99996
L-BFGS-B,16,20,0.0044,56920.12,8,20,19.9956,0.99978
L-BFGS-B,16,20,0.0017,23199.8,9,20,19.9983,0.999915
L-BFGS-B,16,20,0.0032,36661.67,10,20,19.9968,0.9998400000000001
L-BFGS-B,16,20,0.0006,24618.53,11,20,19.9994,0.99997
L-BFGS-B,16,20,0.0005,35385.37,12,20,19.9995,0.9999750000000001
L-BFGS-B,16,20,0.0119,17731.61,13,20,19.9881,0.999405
L-BFGS-B,16,20,0.0116,43669.45,14,20,19.9884,0.99942
L-BFGS-B,8,30,0.0409,1306.74,0,30,29.9591,0.9986366666666666
L-BFGS-B,8,30,0.2546,588.73,1,30,29.7454,0.9915133333333334
L-BFGS-B,8,30,0.371,709.39,2,30,29.629,0.9876333333333334
L-BFGS-B,8,30,0.201,1480.54,3,30,29.799,0.9933
L-BFGS-B,16,30,0.0017,32474.61,0,30,29.9983,0.9999433333333333
